epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5304909193032497,0.7121621621621622,0.44431251287460327,0.7976190476190477,0.42269801545707814,0.8333333333333334
2,0.4300871305369042,0.7993243243243243,0.37438318133354187,0.8285714285714286,0.34091622363006485,0.8928571428571429
3,0.40083593653666005,0.8202702702702702,0.37467026710510254,0.8261904761904761,0.33644347981738487,0.8809523809523809
4,0.38259271810183654,0.8297297297297297,0.38178566098213196,0.8452380952380952,0.349292368515037,0.8928571428571429
5,0.3809354398701642,0.8317567567567568,0.30681073665618896,0.8761904761904762,0.25456117696117025,0.9642857142857143
6,0.37291203137185125,0.8371621621621622,0.3815247714519501,0.830952380952381,0.3284418872216289,0.8571428571428571
7,0.35527203747549574,0.8429054054054054,0.4552012085914612,0.7666666666666667,0.40728533165377245,0.75
8,0.3532883657796963,0.8449324324324324,0.3358346223831177,0.8738095238095238,0.2888381742448714,0.9166666666666666
9,0.3364959107057468,0.8567567567567568,0.3224903345108032,0.8571428571428571,0.26237251444183834,0.9523809523809523
10,0.3382141433857583,0.8614864864864865,0.3238518238067627,0.8761904761904762,0.27060488081037576,0.9523809523809523
