epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5830582153229487,0.6482993197278911,0.2897692024707794,0.8954545454545455,0.27638600199368973,0.9545454545454546
2,0.47132176237852397,0.7704081632653061,0.26287922263145447,0.9181818181818182,0.24662495365632656,0.9659090909090909
3,0.4330484675306852,0.8020408163265306,0.25014227628707886,0.9136363636363637,0.23172798835915065,0.9545454545454546
4,0.4140121134770971,0.8125850340136055,0.2562543451786041,0.9090909090909091,0.232824093609477,0.9659090909090909
5,0.39656776692591555,0.826530612244898,0.2279307246208191,0.9363636363636364,0.2103141771593805,0.9545454545454546
6,0.37238428258166023,0.8299319727891157,0.22862602770328522,0.9272727272727272,0.20098498456801972,0.9545454545454546
7,0.37347456091115266,0.8251700680272109,0.2877093553543091,0.865909090909091,0.23475097741622458,0.9545454545454546
8,0.34628594128453,0.8472789115646259,0.22497232258319855,0.9113636363636364,0.17285225910336435,0.9545454545454546
9,0.32663268477332835,0.8534013605442177,0.3007104694843292,0.8636363636363636,0.22363176402417367,0.9431818181818182
10,0.3051276892018156,0.8639455782312925,0.3672226369380951,0.8204545454545454,0.2718307608161817,0.9431818181818182
