epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5712048423451346,0.6668918918918919,0.47446760535240173,0.7761904761904762,0.45521646454533576,0.7738095238095238
2,0.44480608669487204,0.7912162162162162,0.37183284759521484,0.8261904761904761,0.33027483482232245,0.8809523809523809
3,0.42592553021134555,0.8091216216216216,0.4024898111820221,0.8,0.36506017092315296,0.8452380952380952
4,0.39926001542323347,0.822972972972973,0.3988918364048004,0.8142857142857143,0.36692673785148605,0.8571428571428571
5,0.38212821978974987,0.8283783783783784,0.36557283997535706,0.8452380952380952,0.3075444992674462,0.9285714285714286
6,0.37671864973129454,0.835472972972973,0.3794281780719757,0.8380952380952381,0.3279387634890427,0.8928571428571429
7,0.36245842938487594,0.8385135135135136,0.4168897271156311,0.8119047619047619,0.3695266826680836,0.8095238095238095
8,0.35775460359212513,0.8412162162162162,0.37658029794692993,0.85,0.3298216706826397,0.9166666666666666
9,0.3440929941833019,0.8449324324324324,0.34905126690864563,0.8595238095238096,0.3071454921176121,0.9166666666666666
10,0.32456197770866185,0.8584459459459459,0.39330458641052246,0.8285714285714286,0.31325013657203776,0.9642857142857143
