display_name,electrode_order,electrode_name,x,y,z,source_url
braindecode/eegpt-pretrained,27,C3,-0.06535809999999999,-0.0116317,0.064358,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,28,C1,-0.036158,-0.0099839,0.089752,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,29,CZ,0.0004009,-0.009167,0.100244,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,30,C2,0.037672,-0.0096241,0.088412,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,31,C4,0.06711790000000001,-0.0109003,0.06358,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,32,C6,0.0834559,-0.0127763,0.029207999999999998,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,33,T8,0.0850799,-0.0150203,-0.00949,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,34,TP7,-0.08483020000000001,-0.046021700000000006,-0.007056,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,35,CP5,-0.0795922,-0.0465507,0.030949,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,36,CP3,-0.0635562,-0.0470088,0.065624,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,37,CP1,-0.0355131,-0.0472919,0.091315,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,38,CPZ,0.0003858,-0.047318,0.099432,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,39,CP2,0.0383838,-0.0470731,0.090695,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,40,CP4,0.0666118,-0.0466372,0.06558,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,41,CP6,0.0833218,-0.046101300000000005,0.031206,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,42,TP8,0.0855488,-0.0455453,-0.00713,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,43,P7,-0.0724343,-0.0734527,-0.002487,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,44,P5,-0.06727230000000001,-0.0762907,0.028382,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,45,P3,-0.0530073,-0.0787878,0.05594,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,46,P1,-0.0286203,-0.0805249,0.075436,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,47,PZ,0.0003247,-0.08111499999999999,0.082615,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,48,P2,0.0319197,-0.08048709999999999,0.07671599999999999,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,49,P4,0.0556667,-0.0785602,0.056561,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,50,P6,0.0678877,-0.07590430000000001,0.028091,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,51,P8,0.0730557,-0.07306829999999999,-0.00254,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,52,PO7,-0.054840400000000004,-0.0975279,0.0027919999999999998,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,53,PO5,-0.0484244,-0.0993408,0.021599,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,54,PO3,-0.0365114,-0.10085290000000001,0.037167,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
