epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6557260175444641,0.6292517006802721,0.4901219040832736,0.8977272727272727
2,0.5402586836697293,0.7210884353741497,0.3714874148030173,0.9090909090909091
3,0.4682401206572445,0.7704081632653061,0.3117306176573038,0.8977272727272727
4,0.43272943678153614,0.8044217687074829,0.33005450843748724,0.8977272727272727
5,0.3955323024443826,0.8231292517006803,0.3435843769799579,0.8977272727272727
6,0.40550304234636075,0.8078231292517006,0.3067682351578366,0.9204545454545454
7,0.3581313639499095,0.8537414965986394,0.27136319617486815,0.8977272727272727
8,0.3575879852509215,0.8605442176870748,0.2630610946904529,0.875
9,0.361182539825182,0.8503401360544217,0.3100900492546233,0.9090909090909091
10,0.36799110724356304,0.8503401360544217,0.3347863117232919,0.8977272727272727
11,0.3323767767351146,0.8520408163265306,0.356337582946501,0.875
12,0.2848997875275154,0.8826530612244898,0.2932703053917397,0.8977272727272727
13,0.341412669440516,0.8452380952380952,0.38473410718142986,0.8295454545454546
14,0.3343538973277726,0.8520408163265306,0.236829658631574,0.8636363636363636
15,0.28020392612040956,0.8826530612244898,0.2522024324333126,0.8636363636363636
16,0.34509976512948876,0.8503401360544217,0.26736238052729855,0.8636363636363636
17,0.35009365942531906,0.8571428571428571,0.26063102716580033,0.875
18,0.3159851353032654,0.8690476190476191,0.2499663840598342,0.875
19,0.32829580847237283,0.8639455782312925,0.2888191514648497,0.8863636363636364
20,0.3167203847876414,0.8656462585034014,0.2542159163223749,0.8863636363636364
21,0.3207332137845406,0.8605442176870748,0.34860434201122686,0.8636363636363636
22,0.3047970146967136,0.8826530612244898,0.23797954326834192,0.875
23,0.32417959610291686,0.8622448979591837,0.24820695696821946,0.875
24,0.29394609102865266,0.8826530612244898,0.23869302845560014,0.875
25,0.3003987320635442,0.8690476190476191,0.23206695626405152,0.875
26,0.28476450294826405,0.8809523809523809,0.25060131265358493,0.8863636363636364
27,0.30724665959726793,0.8520408163265306,0.23663530900905078,0.875
28,0.29589144724617605,0.8945578231292517,0.2317475894339044,0.875
29,0.27748865662396055,0.8724489795918368,0.23204969405196607,0.875
30,0.2941971380884449,0.8928571428571429,0.2690224069466984,0.8636363636363636
31,0.3058632373157255,0.8775510204081632,0.23349952568638732,0.875
32,0.28156419589063847,0.8928571428571429,0.2236652771667154,0.875
33,0.26495849202722815,0.8945578231292517,0.2617441051300954,0.875
34,0.28905110639443965,0.8758503401360545,0.22358224966393953,0.875
35,0.3135926335239086,0.8639455782312925,0.22333526943640952,0.8863636363636364
36,0.27812435631291804,0.891156462585034,0.23219462761401452,0.8863636363636364
37,0.27070412577643077,0.8809523809523809,0.235561308958991,0.875
38,0.2720872659812726,0.8809523809523809,0.2376675990156152,0.875
39,0.2897006506892238,0.8690476190476191,0.23669121333990584,0.8863636363636364
40,0.2526596851906657,0.9047619047619048,0.22894632532684642,0.8863636363636364
41,0.2805347807711738,0.8792517006802721,0.23575331101363356,0.8636363636363636
42,0.2676194886182796,0.8860544217687075,0.22765124091793867,0.8863636363636364
43,0.24771350284651886,0.8962585034013606,0.2683913207782263,0.8863636363636364
44,0.23984097796460602,0.9115646258503401,0.2349301776425405,0.875
45,0.24432002549490506,0.9047619047619048,0.23508975880262864,0.875
46,0.2625810367809165,0.9013605442176871,0.24189687080004,0.8863636363636364
47,0.2488990499999146,0.8877551020408163,0.2353480793271129,0.875
48,0.2689593816279009,0.8928571428571429,0.22798179686916145,0.8977272727272727
49,0.25292960916911916,0.8894557823129252,0.24570478004699742,0.8636363636363636
50,0.23384514177015342,0.8962585034013606,0.25444842714139004,0.875
