epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.6931504200915901,0.49863945578231295,0.6920962929725647,0.5272727272727272,0.6919910669112319,0.5113636363636364
2,0.6888086365193736,0.5530612244897959,0.6909559965133667,0.5181818181818182,0.6904555537934818,0.5568181818181818
3,0.6849010064488366,0.5758503401360544,0.6916578412055969,0.4818181818181818,0.6904941218633062,0.5340909090909091
4,0.6804713535471028,0.5870748299319728,0.6903629899024963,0.5272727272727272,0.6885305091974965,0.48863636363636365
5,0.6757977295895012,0.5965986394557823,0.6921728253364563,0.48409090909090907,0.6893066926430518,0.5
6,0.6714922833604877,0.6081632653061224,0.6920728087425232,0.5022727272727273,0.6880566534388809,0.45454545454545453
7,0.6690834995029735,0.608843537414966,0.6915856003761292,0.5113636363636364,0.6866249126400845,0.5
8,0.6651397849426789,0.6204081632653061,0.6920276880264282,0.5181818181818182,0.6862377607606803,0.5113636363636364
9,0.6624804233207183,0.6231292517006802,0.6915461421012878,0.5159090909090909,0.684869268009843,0.5340909090909091
10,0.6603094551838985,0.6289115646258503,0.6926116943359375,0.5113636363636364,0.6850674311263981,0.5340909090909091
