validation_dyad,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy
J1,100,0.6707505782445272,0.5595238095238095,0.6064500989067176,0.8035714285714286,0.6707505782445272,0.5595238095238095
J2,15,0.692356635901061,0.5681818181818182,0.6564711010456086,0.756,0.6923871135169809,0.5681818181818182
J4,77,0.6867864314805378,0.6136363636363636,0.6052040266990661,0.814,0.6869134327227419,0.6022727272727273
J5,99,0.6876538246870041,0.5795454545454546,0.5946245610713958,0.792,0.6876916478980671,0.5795454545454546
J7,17,0.6919669861143286,0.5,0.6564063334465027,0.776,0.6926556094126268,0.5227272727272727
J8,2,0.693034403026104,0.46875,0.6717414622770921,0.732824427480916,0.6937889382243156,0.46875
J10,58,0.6892920617352832,0.5681818181818182,0.6183897194266319,0.784,0.6893765946680849,0.5795454545454546
