epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7166102866868715,0.48986486486486486,0.7026362532661075,0.5
2,0.7023798468950633,0.4831081081081081,0.7034970578693208,0.5
3,0.701539741980063,0.4864864864864865,0.6937297525860014,0.5
4,0.6945740161715327,0.47635135135135137,0.6931472080094474,0.5
5,0.6937878002991548,0.4560810810810811,0.6931488684245518,0.5
6,0.6933757098945411,0.4797297297297297,0.6933941755975995,0.5
7,0.6935703319472235,0.5,0.6931479573249817,0.5
8,0.6938519751703417,0.47635135135135137,0.693303230262938,0.5
9,0.6943082422823519,0.4797297297297297,0.6931959901537214,0.5
10,0.6937764448088568,0.5067567567567568,0.6934276847612291,0.5
11,0.69383098144789,0.4864864864864865,0.6941545520509992,0.5
12,0.694851409744572,0.5135135135135135,0.6934223685945783,0.5
13,0.7002923730257395,0.49324324324324326,0.7117529993965512,0.5
14,0.6954144916018924,0.5304054054054054,0.6973208132244292,0.5
