epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6466496191969534,0.6445578231292517,0.5751766748726368,0.8409090909090909
2,0.5210636093908426,0.7363945578231292,0.4777655486356128,0.8863636363636364
3,0.45485459148985186,0.7738095238095238,0.5023977746340361,0.7727272727272727
4,0.43327557272752937,0.8044217687074829,0.5181583457372405,0.7613636363636364
5,0.3961483411440233,0.8367346938775511,0.4136101124300198,0.8295454545454546
6,0.3913420768720763,0.8180272108843537,0.5017533708702434,0.7840909090909091
7,0.36010345196997634,0.8435374149659864,0.49131204814396123,0.7840909090909091
8,0.3563652476359184,0.8571428571428571,0.7215430438518524,0.75
9,0.3428642071188003,0.8469387755102041,0.4659340682185509,0.7954545454545454
10,0.35316423609295267,0.8486394557823129,0.372524619102478,0.8068181818181818
11,0.3173532984631301,0.8724489795918368,0.6652068587189371,0.7840909090909091
12,0.28292591303434905,0.8928571428571429,0.6060649144717238,0.7840909090909091
13,0.3237569297309078,0.8384353741496599,0.4742694746025584,0.7727272727272727
14,0.3169100714790426,0.8622448979591837,0.735943304374814,0.7727272727272727
15,0.26957085607636744,0.8945578231292517,0.6570156956599518,0.7727272727272727
16,0.33175587249431937,0.8452380952380952,0.5958823539655317,0.7840909090909091
17,0.32016597254847995,0.8724489795918368,0.5901486701755361,0.7727272727272727
18,0.2944447896189886,0.8877551020408163,0.48979127940467815,0.7727272727272727
19,0.32748652685142193,0.8707482993197279,0.6840235545215282,0.7386363636363636
20,0.3038514134455092,0.8537414965986394,0.8406507797877897,0.7840909090909091
21,0.30683661086586156,0.8741496598639455,0.6234392218969085,0.75
22,0.27028180401911645,0.8860544217687075,0.7384183851324699,0.7727272727272727
23,0.30393935288270924,0.8673469387755102,0.8382165125486526,0.7613636363636364
24,0.28174381689516964,0.8826530612244898,0.850011984733018,0.7727272727272727
25,0.2822404367830224,0.8724489795918368,0.6881989266046069,0.7727272727272727
