condition,freeze_name,mean_accuracy,std_accuracy,mean_loss,trainable_parameters
from_scratch,from_scratch_baseline,0.7358630952380952,0.08009046476187497,0.5001115753169303,6738
pretrained,fine_tuning_complet,0.7487148268398268,0.10047919593948348,0.5177286301614279,6738
pretrained,freeze_temporal,0.7147338338744589,0.13170570625823314,0.5326616933741415,6210
pretrained,freeze_temporal_spatial,0.6814968885281385,0.11573487559260921,0.5975770279472831,5666
pretrained,freeze_tout_sauf_classifieur,0.5698728354978355,0.09192785720022037,0.6569938418945274,5122
