epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.6929160986850464,0.5003267973856209,0.6934100389480591,0.45,0.6932630770109387,0.484375
2,0.6889841879115385,0.5535947712418301,0.6936052441596985,0.49375,0.6931198639441968,0.5
3,0.6846789635863959,0.5794117647058824,0.6939205527305603,0.4875,0.6924757891030622,0.515625
4,0.6804503815626007,0.5950980392156863,0.6944495439529419,0.490625,0.6925564440525622,0.53125
5,0.6760028729251787,0.596078431372549,0.6950069665908813,0.509375,0.6918393026410523,0.515625
6,0.6728939637639164,0.6147058823529412,0.6950089335441589,0.49375,0.6907770517484106,0.515625
7,0.6695092562756507,0.6205882352941177,0.6954793334007263,0.515625,0.690049546578503,0.59375
8,0.6663691753655477,0.6222222222222222,0.6957322359085083,0.515625,0.6897730014019634,0.625
9,0.6640018220041313,0.6310457516339869,0.6955524682998657,0.53125,0.6887513928265367,0.59375
10,0.6607523302626765,0.6316993464052287,0.6945195198059082,0.534375,0.6870170088429898,0.609375
