epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6598685749508197,0.6323529411764706,0.6179654989391565,0.71875
2,0.5046404773016381,0.7777777777777778,0.7151934574358165,0.65625
3,0.4479839073043633,0.7728758169934641,0.6896753895562142,0.671875
4,0.39275704609120593,0.8284313725490197,0.5612951044458896,0.75
5,0.38302431370016016,0.8398692810457516,0.6529696225188673,0.671875
6,0.37611961069522926,0.8218954248366013,0.7065067926887423,0.671875
7,0.36275887604364576,0.8431372549019608,0.5544000938534737,0.734375
8,0.3613895925455818,0.8382352941176471,0.5233253221958876,0.765625
9,0.30695540335613725,0.8725490196078431,0.7666499279439449,0.671875
10,0.3459383264744009,0.8529411764705882,0.7076868622098118,0.671875
11,0.30278501227449356,0.8758169934640523,0.8049074977170676,0.65625
12,0.3274072382806076,0.8611111111111112,0.7200878034345806,0.65625
13,0.33103974675759673,0.8578431372549019,0.739827899611555,0.6875
14,0.31129809169196127,0.8676470588235294,0.7614915062440559,0.671875
15,0.28686886257035477,0.8872549019607843,0.6863218892831355,0.71875
16,0.2946285726989504,0.8888888888888888,0.9454725051764399,0.65625
17,0.290746091694565,0.8888888888888888,0.581238794606179,0.71875
18,0.27194353538181854,0.8921568627450981,1.1197609750088304,0.65625
19,0.29123826213546244,0.8741830065359477,0.7213245525490493,0.703125
20,0.294594858553918,0.8741830065359477,0.6557605180423707,0.703125
21,0.3084870441147169,0.8774509803921569,0.775792121887207,0.671875
22,0.31056540968273977,0.8758169934640523,0.6644334571901709,0.703125
23,0.2997437132297242,0.8823529411764706,0.8170758722117171,0.671875
