epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5156851097029083,0.7241496598639455,0.6431461572647095,0.625,0.6160305291304478,0.6477272727272727
2,0.40618776076910446,0.8187074829931973,0.6088749766349792,0.7113636363636363,0.5188723015088628,0.7272727272727273
3,0.3685133006702475,0.8408163265306122,0.591819167137146,0.6840909090909091,0.5135654891324378,0.7613636363636364
4,0.3291539150841382,0.8585034013605443,0.6775293350219727,0.6454545454545455,0.5790016005453361,0.6931818181818182
5,0.2970457479661825,0.8724489795918368,0.664089024066925,0.675,0.5177356094617963,0.7613636363636364
6,0.2564342706381869,0.8931972789115646,0.7025009989738464,0.7,0.5204466841766782,0.7727272727272727
7,0.2226703337057918,0.9034013605442177,0.7571370005607605,0.6613636363636364,0.5072176491137014,0.7840909090909091
8,0.19408904187330583,0.922108843537415,0.855231523513794,0.6727272727272727,0.5153633247123582,0.7727272727272727
9,0.1448034002540671,0.9442176870748299,0.9546963572502136,0.6886363636363636,0.5263677860324054,0.7840909090909091
10,0.11455224575538213,0.9547619047619048,1.0425792932510376,0.6545454545454545,0.5381703734349524,0.75
