epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5973001361672395,0.6310457516339869,0.6346713900566101,0.640625,0.5964377243987267,0.609375
2,0.40978289414075464,0.8084967320261438,0.6980396509170532,0.69375,0.5726348619731391,0.71875
3,0.3952802618539411,0.8261437908496732,0.62297523021698,0.7,0.5557791459364285,0.703125
4,0.35996555721058565,0.8366013071895425,0.5709620714187622,0.7125,0.4691885714671301,0.8125
5,0.3439290153824426,0.8503267973856209,0.6792765855789185,0.659375,0.592996604041351,0.6875
6,0.33090980791188535,0.8591503267973856,0.5938857793807983,0.69375,0.503262596479466,0.78125
7,0.31646059895652573,0.8614379084967321,0.6843882203102112,0.665625,0.5474439158707145,0.734375
8,0.30867965903400985,0.8640522875816994,0.6778398752212524,0.7375,0.4852641324188347,0.75
9,0.2832793673853469,0.8794117647058823,0.8476421236991882,0.684375,0.6412221740245552,0.671875
