epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.6672616668400311,0.576530612244898,0.8708429729396646,0.5
2,0.4872468083488698,0.7670068027210885,0.6761842834001238,0.5568181818181818
3,0.40493459102450585,0.8095238095238095,0.7837903711267493,0.5340909090909091
4,0.36769850778893953,0.8452380952380952,0.5794281099330295,0.7159090909090909
5,0.3280708753206089,0.8690476190476191,0.5842468433759429,0.7159090909090909
6,0.2997640764505482,0.8707482993197279,0.6848085197535428,0.6818181818181818
7,0.254738574847579,0.9149659863945578,0.7391468283127655,0.6590909090909091
8,0.21685232165694035,0.9268707482993197,0.8526748378168453,0.6022727272727273
9,0.21133412269964105,0.923469387755102,0.7721224713393233,0.7159090909090909
10,0.18189794248679564,0.9319727891156463,0.8219092950563539,0.6477272727272727
11,0.1924323211123115,0.9319727891156463,0.8178614559160038,0.6477272727272727
12,0.16575836234878064,0.9251700680272109,0.8355235768990084,0.6704545454545454
13,0.14200038765873887,0.9523809523809523,0.8798985764045607,0.6704545454545454
14,0.14279440004492597,0.9472789115646258,0.8438516416671601,0.6818181818181818
15,0.1575575608041036,0.9421768707482994,0.8580667622048747,0.6477272727272727
16,0.12884752828763246,0.9540816326530612,0.9189910733733665,0.6704545454545454
17,0.1263235623989457,0.9591836734693877,0.8427246460606429,0.6931818181818182
18,0.14648998412857986,0.9438775510204082,0.8852761134674604,0.6590909090909091
19,0.11054062255623363,0.9540816326530612,0.8700662915256213,0.7159090909090909
20,0.10516964404314731,0.9591836734693877,0.8715092868290164,0.6931818181818182
21,0.11311448346146344,0.9523809523809523,0.9499393137679859,0.6590909090909091
22,0.097408676626902,0.9659863945578231,0.8994057364761829,0.6818181818181818
23,0.092118465792341,0.9642857142857143,0.8978377756747332,0.6931818181818182
24,0.08165995776475103,0.9727891156462585,0.8314875134859573,0.7045454545454546
25,0.09870976596256183,0.9642857142857143,0.9694098124957897,0.6363636363636364
26,0.07807931260223228,0.9744897959183674,0.9690914022820917,0.6704545454545454
27,0.08828176178994784,0.9710884353741497,0.9266962291334163,0.6704545454545454
28,0.09277768064356412,0.9693877551020408,1.0940681885589252,0.6477272727272727
29,0.10616725277065356,0.95578231292517,1.098280124789612,0.6136363636363636
30,0.09117120373382337,0.9608843537414966,1.0157262760807166,0.6590909090909091
31,0.10179459956873493,0.9608843537414966,1.037684891965579,0.6818181818181818
32,0.10099946641483777,0.9591836734693877,0.9934836827557195,0.7159090909090909
33,0.08570063770182933,0.9642857142857143,1.0425461495972492,0.6818181818181818
34,0.10298939307309027,0.9659863945578231,0.9551281978122212,0.7386363636363636
