epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7414282504089025,0.5374149659863946,0.7160819856957956,0.4772727272727273
2,0.4666213622304047,0.7755102040816326,0.7571854760701006,0.5681818181818182
3,0.3519674877249667,0.8486394557823129,0.6245559765533968,0.6704545454545454
4,0.2849352205818405,0.8962585034013606,0.7901762629097159,0.6022727272727273
5,0.2645029288520213,0.8843537414965986,0.8863103985786438,0.5909090909090909
6,0.21914988068616664,0.9030612244897959,0.695601303469051,0.6363636363636364
7,0.18712412952176188,0.9217687074829932,0.7515053274956617,0.6477272727272727
8,0.17482046950307553,0.9285714285714286,1.0897182412445545,0.5681818181818182
9,0.14571142659069602,0.9506802721088435,1.0219116851010106,0.6022727272727273
10,0.13785877270817276,0.9489795918367347,0.7890076406977393,0.6136363636363636
11,0.1408339555899543,0.9489795918367347,0.8815093414688652,0.6363636363636364
12,0.10984806514536759,0.9523809523809523,0.9049981710585681,0.6590909090909091
13,0.10951043858484295,0.9608843537414966,1.0965968001295219,0.6022727272727273
14,0.08993623720907264,0.9693877551020408,1.061865527013486,0.6136363636363636
15,0.07340418039579547,0.9693877551020408,1.0191038729284296,0.6590909090909091
16,0.08103756341278603,0.9710884353741497,1.0905289109372958,0.625
17,0.07780403270575037,0.9659863945578231,0.7912291098724712,0.7045454545454546
18,0.0936288031042917,0.95578231292517,1.2896814186718653,0.6136363636363636
19,0.06415869912953417,0.9761904761904762,0.9450146324128251,0.6590909090909091
20,0.06348350465578442,0.967687074829932,1.3105636905794116,0.625
21,0.09646398617447866,0.9608843537414966,1.0644239282912829,0.625
22,0.06012686503007509,0.9829931972789115,1.0801084817133166,0.625
23,0.08653559183560709,0.9693877551020408,1.1197702866470949,0.6818181818181818
24,0.07972407652481224,0.9659863945578231,0.9057934252037243,0.7272727272727273
25,0.05830767169108909,0.9795918367346939,1.1921219311823898,0.6363636363636364
26,0.04844844219662548,0.9829931972789115,1.0260666724802419,0.6818181818181818
27,0.055686166123320745,0.9778911564625851,1.1509990160438148,0.7045454545454546
28,0.07292714868749406,0.9727891156462585,1.2938190962780605,0.5909090909090909
29,0.0698574742771437,0.9761904761904762,1.0960193557495421,0.7386363636363636
30,0.04530297786430335,0.9829931972789115,1.3745615282519297,0.6363636363636364
31,0.05283265245192784,0.9812925170068028,1.1423239955170588,0.6818181818181818
32,0.050049573990134155,0.9778911564625851,1.183017245176333,0.6590909090909091
33,0.055229982550868105,0.9795918367346939,1.6030842564492063,0.6363636363636364
