validation_dyad,best_epoch,best_validation_loss,best_validation_accuracy,final_train_window_loss,final_train_window_accuracy,best_checkpoint_participant_loss,best_checkpoint_participant_accuracy,best_checkpoint_window_loss,best_checkpoint_window_accuracy
J1,9,0.3071454921176121,0.9166666666666666,0.32456197770866185,0.8584459459459459,0.3071454921176121,0.9166666666666666,0.34905126690864563,0.8595238095238096
J2,7,0.4099498391883316,0.8181818181818182,0.310547259956801,0.8707482993197279,0.4099498391883316,0.8181818181818182,0.5629302859306335,0.7545454545454545
J4,6,0.2910312461897218,0.9090909090909091,0.3057794677765191,0.8704081632653061,0.2910312461897218,0.9090909090909091,0.34595489501953125,0.8545454545454545
J5,10,0.3058508052758804,0.8977272727272727,0.3187545687568431,0.8629251700680272,0.3058508052758804,0.8977272727272727,0.39515557885169983,0.8272727272727273
J7,5,0.48219774981565444,0.7954545454545454,0.27686520630405065,0.882312925170068,0.48219774981565444,0.7954545454545454,0.5872032642364502,0.7204545454545455
J8,4,0.4691885714671301,0.8125,0.2832793673853469,0.8794117647058823,0.4691885714671301,0.8125,0.5709620714187622,0.7125
J10,8,0.17285225910336435,0.9545454545454546,0.3051276892018156,0.8639455782312925,0.17285225910336435,0.9545454545454546,0.22497232258319855,0.9113636363636364
J15,7,0.3534736143796524,0.8295454545454546,0.30192709895623787,0.8717687074829932,0.3534736143796524,0.8295454545454546,0.4881099462509155,0.7886363636363637
