epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,9.74206742125691,0.5424836601307189,4.88623379546334,0.59375
2,1.1784891542401073,0.761437908496732,2.802812016045209,0.59375
3,0.23313827361110515,0.9330065359477124,3.492040559183806,0.453125
4,0.0296665980391072,0.9918300653594772,3.437196405720897,0.484375
5,0.005012568322611418,1.0,3.485776247223839,0.515625
6,0.001840080234333771,1.0,3.5593197415582836,0.515625
7,0.0011956026783702214,1.0,3.6097582802176476,0.515625
8,0.0008752199219984638,1.0,3.6524056664202362,0.515625
9,0.000673966462591072,1.0,3.6880849411245435,0.515625
10,0.0005417132934047188,1.0,3.721157584921457,0.515625
11,0.00044466720969473113,1.0,3.7491760338889435,0.515625
12,0.00037238199945828477,1.0,3.775198581861332,0.515625
13,0.00031652373240324003,1.0,3.799475312465802,0.515625
14,0.0002712489943598621,1.0,3.8227681901771575,0.515625
15,0.00023555415037539642,1.0,3.844947356497869,0.515625
16,0.00020602579773857676,1.0,3.866461297380738,0.515625
17,0.00018146727011133783,1.0,3.884521088562906,0.515625
