epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.5269080616533757,0.732,3.0612847907944922,0.5
2,0.5097051580250264,0.75,24.31154099377719,0.5
3,0.43573402844369413,0.786,66.11653119867498,0.5
4,0.4015915720909834,0.834,41.34867635640231,0.5
5,0.3901075709983706,0.83,8.817194199020213,0.5
6,0.37991999138146637,0.836,12.914974852041764,0.5
7,0.38185625582933425,0.836,71.70145869255066,0.5
8,0.3175418035686016,0.884,43.47312222827565,0.5
9,0.36380684193223717,0.828,43.91837167739868,0.5
10,0.33947210144251583,0.858,0.6206447593867779,0.7386363636363636
11,0.3270537034608424,0.846,43.749894012104384,0.5
12,0.3930318162962794,0.824,16.565231827172365,0.5
13,0.3004655108600855,0.866,15.625070409341292,0.5
14,0.30049646340310576,0.868,33.69873260368001,0.5
15,0.26615107781253755,0.888,8.026480067859996,0.5
16,0.31513447366654873,0.866,17.89252373305234,0.5
17,0.3527637439966202,0.846,23.649265657771718,0.5
18,0.3038842386007309,0.858,23.1976166638461,0.5
19,0.2777315750718117,0.888,19.19120116667314,0.5
20,0.2873657344188541,0.882,7.93615401468362,0.5
21,0.31624912831932306,0.872,1.9794988469644026,0.6022727272727273
22,0.2771858383901417,0.884,28.420423431829974,0.5
23,0.3073552640993148,0.832,37.70105669715188,0.5
24,0.29473838686943055,0.872,12.89393640648235,0.5
25,0.2563043938577175,0.898,3.700333847240968,0.6363636363636364
