validation_dyad,best_validation_loss,best_epoch,final_train_accuracy,final_validation_accuracy
J1,0.6679411179879132,100,0.8095238095238095,0.5833333333333334
J2,0.6915616757339902,27,0.808,0.5340909090909091
J4,0.6872010330359141,82,0.81,0.6022727272727273
J5,0.6885828077793121,100,0.786,0.5909090909090909
J7,0.7012950016392602,1,0.804,0.5
J8,0.6930131774682265,2,0.7748091603053435,0.46875
J10,0.689216136932373,59,0.802,0.5795454545454546
