dyad_id,n_files,mean_std,maximum_absolute,maximum_peak_to_peak,median_q99_absolute,n_extreme_files,total_extreme_values,n_relative_outliers,total_nan,total_inf
J7,44,0.00019268795639405532,0.2720264494419098,0.5070164203643799,4.498449890888881e-05,1,3187,8,0,0
J1,42,2.1941576090282207e-05,0.003544328734278679,0.006121589569374919,6.716190520819524e-05,0,0,2,0,0
J4,44,1.4356057900223081e-05,0.0014909779420122504,0.0024952107341960073,4.1396027572773296e-05,0,0,1,0,0
J8,32,1.9565421660073834e-05,0.001230493187904358,0.002401906531304121,4.821142259970677e-05,0,0,2,0,0
J5,44,1.1670495104706035e-05,0.0005777097539976239,0.0006861496367491782,3.2305434087902556e-05,0,0,0,0,0
J15,44,1.5962388141927843e-05,0.0003790118498727679,0.0006621501233894378,5.259954008579379e-05,0,0,0,0,0
J2,44,1.4697777811096147e-05,0.000299143954180181,0.00044774592970497906,4.826960583159249e-05,0,0,0,0,0
J10,44,1.333840640096577e-05,0.0002576192782726139,0.0004930491850245744,4.210168919598821e-05,0,0,0,0,0
