epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5235591350364036,0.726530612244898,0.4792329967021942,0.7840909090909091,0.4393010652969311,0.9204545454545454
2,0.42833166211640755,0.7982993197278911,0.48295989632606506,0.7613636363636364,0.40750547403850096,0.875
3,0.4041627359633543,0.817687074829932,0.4400791525840759,0.8022727272727272,0.37938832313463683,0.8977272727272727
4,0.3714274899083741,0.8363945578231292,0.48139557242393494,0.7795454545454545,0.4199762786591044,0.8636363636363636
5,0.33634426220744645,0.8612244897959184,0.4816913306713104,0.7772727272727272,0.3904922557850995,0.8863636363636364
6,0.30759414432405613,0.8690476190476191,0.5192221403121948,0.7772727272727272,0.3631090439891969,0.8863636363636364
7,0.27687854087677133,0.8850340136054422,0.6081165671348572,0.7568181818181818,0.37854188416226187,0.8295454545454546
8,0.23926810330274154,0.9030612244897959,0.7029223442077637,0.7477272727272727,0.4085337753586721,0.8636363636363636
9,0.18417022611413683,0.9268707482993197,0.748907208442688,0.7545454545454545,0.3881596754144537,0.8636363636363636
10,0.14651244839235228,0.9401360544217687,0.7849518060684204,0.7340909090909091,0.40307753654302486,0.8522727272727273
