epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5210411405241168,0.7195945945945946,0.5142675638198853,0.7333333333333333,0.4863210688077399,0.75
2,0.4413357152326687,0.7891891891891892,0.41074317693710327,0.8047619047619048,0.3574259264092328,0.9166666666666666
3,0.40720584577805286,0.8114864864864865,0.42609354853630066,0.7976190476190477,0.3730301850602325,0.8571428571428571
4,0.3784345550311578,0.8327702702702703,0.4135740101337433,0.8119047619047619,0.3591555321558903,0.8690476190476191
5,0.34474590307957415,0.8425675675675676,0.3612637519836426,0.8476190476190476,0.2820141314759116,0.9166666666666666
6,0.32184530927522764,0.8587837837837838,0.4411260783672333,0.8119047619047619,0.3282825721000666,0.9285714285714286
7,0.29123209243690645,0.8733108108108109,0.6713556051254272,0.7357142857142858,0.5061035183169571,0.7380952380952381
8,0.2558145042609524,0.8908783783783784,0.45119044184684753,0.8142857142857143,0.2984633640490649,0.8928571428571429
9,0.18537312203363793,0.9216216216216216,0.5510894060134888,0.780952380952381,0.3332444484279798,0.8690476190476191
10,0.15458088605287107,0.9364864864864865,0.6878713965415955,0.7619047619047619,0.36106597533288154,0.8333333333333334
