epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.5364018613789358,0.7020408163265306,0.41943851113319397,0.8159090909090909,0.39325150117533025,0.8409090909090909
2,0.4381598754196751,0.7938775510204081,0.42981380224227905,0.8090909090909091,0.351900065243991,0.9090909090909091
3,0.4007953450387838,0.8170068027210884,0.4278125464916229,0.8136363636363636,0.3534460622329285,0.875
4,0.368798487324293,0.8387755102040816,0.4452785849571228,0.7886363636363637,0.35451725106712284,0.8977272727272727
5,0.32474744611856887,0.8540816326530613,0.5083268880844116,0.7977272727272727,0.344350900823946,0.875
6,0.2771993833131531,0.8789115646258503,0.49377432465553284,0.8,0.33782724931562413,0.8863636363636364
7,0.24343567393263993,0.9030612244897959,0.6517043113708496,0.759090909090909,0.35747158533982043,0.875
8,0.2104393372020754,0.9057823129251701,0.6450082063674927,0.7613636363636364,0.34233396150465656,0.8863636363636364
9,0.16766453110644605,0.930952380952381,0.6782450675964355,0.7704545454545455,0.3368691705774482,0.8522727272727273
10,0.08834797460459122,0.9659863945578231,0.7740957140922546,0.775,0.33000602983068533,0.8636363636363636
