validation_dyad,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy
J1,36,0.14909057864653213,0.9761904761904762,0.22535288822050584,0.9070945945945946,0.3765550584399274,0.7976190476190477
J2,10,0.372524619102478,0.8068181818181818,0.2822404367830224,0.8724489795918368,0.6881989266046069,0.7727272727272727
J4,14,0.24077889513732356,0.8636363636363636,0.2856313235310166,0.8809523809523809,0.24808875829066065,0.875
J5,28,0.18066772078798915,0.9431818181818182,0.252670606598258,0.891156462585034,0.2238787774165923,0.9431818181818182
J7,31,0.35612294873730704,0.8522727272727273,0.23318508413594952,0.9132653061224489,0.4354703646491874,0.7954545454545454
J8,8,0.5296996452379972,0.75,0.29830349588559735,0.880718954248366,0.8143391346093267,0.6875
J10,15,0.10425101916983047,0.9545454545454546,0.3036810286647203,0.8639455782312925,0.14608619214480065,0.9204545454545454
J15,30,0.24028032599017024,0.875,0.262114879641948,0.9013605442176871,0.26135745364114304,0.875
