dyad_id,filename,file_mad_score,amplitude_boundary,participant_index,channel_index,number_of_interpolated_points,first_time_index,last_time_index
J1,J1_E002_C2_YO_S7_5A15.npy,5.752451982788687,0.0008938736556315868,1,5,330,1345,3619
J1,J1_E040_C1_YF_S6_5A15.npy,4.426092690198552,0.0008938736556315868,1,17,7,1435,1441
J1,J1_E040_C1_YF_S6_5A15.npy,4.426092690198552,0.0008938736556315868,1,25,81,1425,1706
J4,J4_E030_C3_YF_S11_5A15.npy,4.022270384024794,0.0008938736556315868,0,29,469,3377,4118
J7,J7_E017_C5_YO_S1_25A35.npy,3.366817442284982,0.0008938736556315868,0,5,19,4332,4350
J7,J7_E018_C5_YF_S1_5A15.npy,14.425274641765013,0.0008938736556315868,0,5,4264,512,5119
J7,J7_E031_C4_YO_S12_25A35.npy,4.074935230782632,0.0008938736556315868,0,11,309,3190,3556
J7,J7_E034_C4_YF_S12_5A15.npy,6.906204633019173,0.0008938736556315868,0,14,1053,0,4904
J7,J7_E035_C4_YO_S12_25A35.npy,7.398898598886706,0.0008938736556315868,0,14,1479,70,5119
J7,J7_E036_C4_YF_S12_5A15.npy,6.0498130312384015,0.0008938736556315868,0,14,194,3117,3320
J7,J7_E037_C4_YO_S12_25A35.npy,6.7186457830541295,0.0008938736556315868,0,14,958,0,1133
J7,J7_E040_C2_YO_S7_5A15.npy,6.008322213893892,0.0008938736556315868,0,14,421,0,420
J8,J8_E002_C2_YO_S7_5A15.npy,3.609276964804786,0.0008938736556315868,0,22,66,5043,5108
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,5,163,796,958
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,10,67,940,4708
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,14,7,5113,5119
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,15,4,5035,5038
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,23,119,4985,5112
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,26,6,9,14
J8,J8_E003_C2_YO_S7_25A35.npy,3.6386022289250533,0.0008938736556315868,0,27,175,4536,4710
