dyad_id,filename,shape,moyenne,écart-type,minimum,maximum,peak_to_peak,max_absolute,95_percentile,99_percentile,99_9_percentile,n_above_threshold,n_nan,n_inf,relative_amplitude_score,is_outlier_relative
J1,J1_E002_C2_YO_S7_5A15.npy,"(2, 32, 5120)",-5.164327904537219e-07,7.666374508551214e-05,-0.00257726083509624,0.003544328734278679,0.006121589569374919,0.003544328734278679,5.5563244859513345e-05,0.00014913899663952218,0.0008984612742205971,0,0,0,5.752451982788687,True
J1,J1_E040_C1_YF_S6_5A15.npy,"(2, 32, 5120)",-3.464213359373079e-07,4.212786207751166e-05,-0.001824919949285686,0.001479427213780582,0.003304347163066268,0.001824919949285686,5.357709214877104e-05,0.0001261051282926933,0.0005442919539636889,0,0,0,4.426092690198552,True
J4,J4_E030_C3_YF_S11_5A15.npy,"(2, 32, 5120)",4.980376432102732e-07,5.5369964064378334e-05,-0.0014909779420122504,0.0010042327921837568,0.0024952107341960073,0.0014909779420122504,3.420533921598687e-05,8.735354211239657e-05,0.0009717913854983609,0,0,0,4.022270384024794,True
J7,J7_E017_C5_YO_S1_25A35.npy,"(2, 32, 5120)",8.557347774537128e-08,1.9922759573432685e-05,-0.00016347217024303973,0.0010740031721070409,0.0012374753423500806,0.0010740031721070409,2.606179405120201e-05,4.8541923897573736e-05,0.00015692681052314493,0,0,0,3.366817442284982,True
J7,J7_E018_C5_YF_S1_5A15.npy,"(2, 32, 5120)",-5.2377909413065515e-06,0.007250442174629534,-0.2720264494419098,0.2349899709224701,0.5070164203643799,0.2720264494419098,2.3879831314843603e-05,0.00876030651852493,0.11932397798448768,0,0,0,14.425274641765013,True
J7,J7_E031_C4_YO_S12_25A35.npy,"(2, 32, 5120)",2.8188170608776937e-07,5.121912973091645e-05,-0.0015307989669963717,0.000646086991764605,0.002176885958760977,0.0015307989669963717,2.464099025019094e-05,6.642847765761029e-05,0.0005460917455493436,0,0,0,4.074935230782632,True
J7,J7_E034_C4_YF_S12_5A15.npy,"(2, 32, 5120)",4.465420605606958e-06,0.00017039338506889771,-0.005552393384277821,0.006314040161669254,0.011866433545947075,0.006314040161669254,2.309828978468431e-05,0.0002633198833791565,0.0022615528975147726,0,0,0,6.906204633019173,True
J7,J7_E035_C4_YO_S12_25A35.npy,"(2, 32, 5120)",5.331639794533023e-07,0.0002034127959924803,-0.008079725317656994,0.004670913331210613,0.012750638648867607,0.008079725317656994,2.3778989816491945e-05,0.0004117221120395709,0.002194430977106092,0,0,0,7.398898598886706,True
J7,J7_E036_C4_YF_S12_5A15.npy,"(2, 32, 5120)",1.4876446688690648e-07,5.8138271703637465e-05,-0.0018241200596094131,0.004113076254725456,0.005937196314334869,0.004113076254725456,2.4107430908770764e-05,0.00013841773339663737,0.0005830016310792416,0,0,0,6.0498130312384015,True
J7,J7_E037_C4_YO_S12_25A35.npy,"(2, 32, 5120)",3.4364271423850703e-07,0.00016940783573873017,-0.004362773150205612,0.0057483152486383915,0.010111088398844004,0.0057483152486383915,2.3685081032454036e-05,5.4733956058044614e-05,0.003535129291238257,0,0,0,6.7186457830541295,True
J7,J7_E040_C2_YO_S7_5A15.npy,"(2, 32, 5120)",-2.903941256991784e-06,8.974935691377643e-05,-0.0040285480208694935,0.00027489999774843454,0.004303448018617928,0.0040285480208694935,3.9631619802094055e-05,0.00010517482136492626,0.0013730957016814226,0,0,0,6.008322213893892,True
J8,J8_E002_C2_YO_S7_5A15.npy,"(2, 32, 5120)",2.9288862934173674e-07,4.400777144603913e-05,-0.0012125655775889754,0.0007388229132629931,0.0019513884908519685,0.0012125655775889754,7.027022802503778e-05,0.00014198253411450452,0.00045342800859361787,0,0,0,3.609276964804786,True
J8,J8_E003_C2_YO_S7_25A35.npy,"(2, 32, 5120)",-3.1683124144975727e-06,0.00011327491503015104,-0.001171413343399763,0.001230493187904358,0.002401906531304121,0.001230493187904358,0.00023596396931679903,0.0005173925182316454,0.0009762810347019691,0,0,0,3.6386022289250533,True
