epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,0.7494559143040631,0.5033783783783784,0.6947850216002691,0.5
2,0.7065999395138508,0.4966216216216216,0.7018710261299497,0.5
3,0.7037373072392231,0.4560810810810811,0.6940206232525054,0.5
4,0.6956852094547169,0.4560810810810811,0.6931841855957395,0.5
5,0.6948214543832315,0.4831081081081081,0.6931531457673936,0.5
6,0.6950688362121582,0.5135135135135135,0.6969278994060698,0.5
7,0.6983260802320532,0.4797297297297297,0.6935644149780273,0.5
8,0.7160705907924755,0.5304054054054054,0.8741594694909596,0.5
9,0.704220254678984,0.5168918918918919,0.6933746877170744,0.5
10,0.6942992886981448,0.4831081081081081,0.6934974250339326,0.5
11,0.6949290890951414,0.5033783783783784,0.6933407187461853,0.5
12,0.6940852258656476,0.5202702702702703,0.6931873673484439,0.5
13,0.6947855305027317,0.4797297297297297,0.6935001810391744,0.5
14,0.694695728856164,0.47297297297297297,0.6948366108394805,0.5
