epoch,train_window_loss,train_window_accuracy,validation_window_loss,validation_window_accuracy,validation_participant_loss,validation_participant_accuracy
1,0.6933163955098107,0.5034013605442177,0.6908751130104065,0.5113636363636364,0.6907447597616009,0.5
2,0.6903372572392833,0.5418367346938775,0.6876932382583618,0.5522727272727272,0.6872084590189169,0.5795454545454546
3,0.687944284993775,0.5564625850340136,0.6853901147842407,0.5545454545454546,0.6845146743718962,0.6590909090909091
4,0.6844829809098016,0.5758503401360544,0.6843196749687195,0.5818181818181818,0.6828982413607494,0.6022727272727273
5,0.6815487732692641,0.5972789115646259,0.6817640066146851,0.5863636363636363,0.6797758007602901,0.6363636363636364
6,0.678545014144612,0.6054421768707483,0.6798874139785767,0.5795454545454546,0.6777845223227961,0.6363636363636364
7,0.6761715899519369,0.5952380952380952,0.6802075505256653,0.5818181818181818,0.6769170495375352,0.6022727272727273
8,0.6734230223156157,0.6115646258503401,0.6787352561950684,0.5795454545454546,0.6751860808201354,0.6477272727272727
9,0.6705973883875374,0.6173469387755102,0.6780009865760803,0.6,0.6736972398716431,0.6136363636363636
10,0.6682912780314075,0.6241496598639455,0.6769247651100159,0.5795454545454546,0.6724042664600458,0.6363636363636364
